run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,event_count,completed_phase_count,unmatched_begin_count,unmatched_end_count,duplicate_begin_count
lc_vs_be_chunked/chunked1/proper/delay_50/r3,out_core/lc_vs_be_chunked/chunked1/proper/delay_50/r3,lc_vs_be_chunked,chunked1,proper,50,3,0,1,1,be_first,0.05,50,80,8,64,512,1048576,1848,924,0,0,0
lc_vs_be_chunked/chunked1/proper/delay_50/r4,out_core/lc_vs_be_chunked/chunked1/proper/delay_50/r4,lc_vs_be_chunked,chunked1,proper,50,4,0,1,1,be_first,0.05,50,80,8,64,512,1048576,1848,924,0,0,0
lc_vs_be_chunked/chunked1/proper/delay_50/r5,out_core/lc_vs_be_chunked/chunked1/proper/delay_50/r5,lc_vs_be_chunked,chunked1,proper,50,5,0,1,1,be_first,0.05,50,80,8,64,512,1048576,1848,924,0,0,0
lc_vs_be_long/long1/naive/delay_50/r1,out_core/lc_vs_be_long/long1/naive/delay_50/r1,lc_vs_be_long,long1,naive,50,1,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/naive/delay_50/r2,out_core/lc_vs_be_long/long1/naive/delay_50/r2,lc_vs_be_long,long1,naive,50,2,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/naive/delay_50/r3,out_core/lc_vs_be_long/long1/naive/delay_50/r3,lc_vs_be_long,long1,naive,50,3,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/naive/delay_50/r4,out_core/lc_vs_be_long/long1/naive/delay_50/r4,lc_vs_be_long,long1,naive,50,4,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/naive/delay_50/r5,out_core/lc_vs_be_long/long1/naive/delay_50/r5,lc_vs_be_long,long1,naive,50,5,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/none/delay_0/r1,out_core/lc_vs_be_long/long1/none/delay_0/r1,lc_vs_be_long,long1,none,0,1,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/none/delay_0/r2,out_core/lc_vs_be_long/long1/none/delay_0/r2,lc_vs_be_long,long1,none,0,2,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/none/delay_0/r3,out_core/lc_vs_be_long/long1/none/delay_0/r3,lc_vs_be_long,long1,none,0,3,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/none/delay_0/r4,out_core/lc_vs_be_long/long1/none/delay_0/r4,lc_vs_be_long,long1,none,0,4,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/none/delay_0/r5,out_core/lc_vs_be_long/long1/none/delay_0/r5,lc_vs_be_long,long1,none,0,5,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/proper/delay_50/r1,out_core/lc_vs_be_long/long1/proper/delay_50/r1,lc_vs_be_long,long1,proper,50,1,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/proper/delay_50/r2,out_core/lc_vs_be_long/long1/proper/delay_50/r2,lc_vs_be_long,long1,proper,50,2,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/proper/delay_50/r3,out_core/lc_vs_be_long/long1/proper/delay_50/r3,lc_vs_be_long,long1,proper,50,3,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/proper/delay_50/r4,out_core/lc_vs_be_long/long1/proper/delay_50/r4,lc_vs_be_long,long1,proper,50,4,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_be_long/long1/proper/delay_50/r5,out_core/lc_vs_be_long/long1/proper/delay_50/r5,lc_vs_be_long,long1,proper,50,5,1,0,1,be_first,0.05,50,80,8,64,512,1048576,568,284,0,0,0
lc_vs_mixed/mixed2/naive/delay_50/r1,out_core/lc_vs_mixed/mixed2/naive/delay_50/r1,lc_vs_mixed,mixed2,naive,50,1,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/naive/delay_50/r2,out_core/lc_vs_mixed/mixed2/naive/delay_50/r2,lc_vs_mixed,mixed2,naive,50,2,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/naive/delay_50/r3,out_core/lc_vs_mixed/mixed2/naive/delay_50/r3,lc_vs_mixed,mixed2,naive,50,3,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/naive/delay_50/r4,out_core/lc_vs_mixed/mixed2/naive/delay_50/r4,lc_vs_mixed,mixed2,naive,50,4,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/naive/delay_50/r5,out_core/lc_vs_mixed/mixed2/naive/delay_50/r5,lc_vs_mixed,mixed2,naive,50,5,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/none/delay_0/r1,out_core/lc_vs_mixed/mixed2/none/delay_0/r1,lc_vs_mixed,mixed2,none,0,1,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/none/delay_0/r2,out_core/lc_vs_mixed/mixed2/none/delay_0/r2,lc_vs_mixed,mixed2,none,0,2,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/none/delay_0/r3,out_core/lc_vs_mixed/mixed2/none/delay_0/r3,lc_vs_mixed,mixed2,none,0,3,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/none/delay_0/r4,out_core/lc_vs_mixed/mixed2/none/delay_0/r4,lc_vs_mixed,mixed2,none,0,4,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/none/delay_0/r5,out_core/lc_vs_mixed/mixed2/none/delay_0/r5,lc_vs_mixed,mixed2,none,0,5,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/proper/delay_50/r1,out_core/lc_vs_mixed/mixed2/proper/delay_50/r1,lc_vs_mixed,mixed2,proper,50,1,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/proper/delay_50/r2,out_core/lc_vs_mixed/mixed2/proper/delay_50/r2,lc_vs_mixed,mixed2,proper,50,2,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/proper/delay_50/r3,out_core/lc_vs_mixed/mixed2/proper/delay_50/r3,lc_vs_mixed,mixed2,proper,50,3,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/proper/delay_50/r4,out_core/lc_vs_mixed/mixed2/proper/delay_50/r4,lc_vs_mixed,mixed2,proper,50,4,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
lc_vs_mixed/mixed2/proper/delay_50/r5,out_core/lc_vs_mixed/mixed2/proper/delay_50/r5,lc_vs_mixed,mixed2,proper,50,5,1,1,2,be_first,0.05,50,80,8,64,512,1048576,2012,1006,0,0,0
